time,choke,GL
0,0,0
100,2,0
200,4,0
300,6,0
400,8,0
500,10,0
600,12,0
700,14,0
800,16,0
900,18,0
1000,20,0
1100,22,0
1200,24,0
1300,26,0
1400,28,0
1500,30,0
1600,32,0
1700,34,0
1800,36,0
1900,38,0
2000,40,0
2100,42,0
2200,44,0
2300,46,0
2400,48,0
2500,50,0
2600,52,0
2700,54,0
2800,56,0
2900,58,0
3000,60,0
3100,62,0
3200,64,0
3300,66,0
3400,68,0
3500,70,0
3600,72,0
3700,74,0
3800,76,0
3900,78,0
4000,80,0
4100,82,0
4200,84,0
4300,86,0
4400,88,0
4500,90,0
4600,92,0
4700,94,0
4800,96,0
4900,98,0
5000,100,0
5100,100,0
5200,100,200
5300,100,400
5400,100,600
5500,100,800
5600,100,1000
5700,100,1200
5800,100,1400
5900,100,1600
6000,100,1800
6100,100,2000
6200,100,2200
6300,100,2400
6400,100,2600
6500,100,2800
6600,100,3000
6700,100,3200
6800,100,3400
6900,100,3600
7000,100,3800
7100,100,4000
7200,100,4200
7300,100,4400
7400,100,4600
7500,100,4800
7600,100,5000
7700,100,5200
7800,100,5400
7900,100,5600
8000,100,5800
8100,100,6000
8200,100,6200
8300,100,6400
8400,100,6600
8500,100,6800
8600,100,7000
8700,100,7200
8800,100,7400
8900,100,7600
9000,100,7800
9100,100,8000
9200,100,8200
9300,100,8400
9400,100,8600
9500,100,8800
9600,100,9000
9700,100,9200
9800,100,9400
9900,100,9600
10000,100,9800
10100,100,10000
10200,100,10000
10300,100,10000
10400,100,10000
10500,100,10000
10600,100,10000
10700,100,10000
10800,100,10000
10900,100,10000
11000,100,10000
11100,100,10000
11200,100,10000
11300,100,10000
11400,100,10000
11500,100,10000
11600,100,10000
11700,100,10000
11800,100,10000
11900,100,10000
12000,100,10000
12100,100,10000
12200,100,10000
12300,100,10000
12400,100,10000
12500,100,10000
12600,100,10000
12700,100,10000
12800,100,10000
12900,100,10000
13000,100,10000
13100,100,10000
13200,100,10000
13300,100,10000
13400,100,10000
13500,100,10000
13600,100,10000
13700,100,10000
13800,100,10000
13900,100,10000
14000,100,10000
14100,100,10000
14200,100,10000
14300,100,10000
14400,100,10000
14500,100,10000
14600,100,10000
14700,100,10000
14800,100,10000
14900,100,10000
15000,100,10000
15100,100,10000
15200,100,10000
15300,100,10000
15400,100,10000
15500,100,10000
15600,100,10000
15700,100,10000
15800,100,10000
15900,100,10000
16000,100,10000
16100,100,10000
16200,100,10000
16300,100,10000
16400,100,10000
16500,100,10000
16600,100,10000
16700,100,10000
16800,100,10000
16900,100,10000
17000,100,10000
17100,100,10000
17200,100,10000
17300,100,10000
17400,100,10000
17500,100,10000
17600,100,10000
17700,100,10000
17800,100,10000
17900,100,10000
18000,100,10000
18100,100,10000
18200,100,10000
18300,100,10000
18400,100,10000
18500,100,10000
18600,100,10000
18700,100,10000
18800,100,10000
18900,100,10000
19000,100,10000
19100,100,10000
19200,100,10000
19300,100,10000
19400,100,10000
19500,100,10000
19600,100,10000
19700,100,10000
19800,100,10000
19900,100,10000
20000,100,10000
20100,100,10000
20200,100,10000
20300,100,10000
20400,100,10000
20500,100,10000
20600,100,10000
20700,100,10000
20800,100,10000
20900,100,10000
21000,100,10000
21100,100,10000
21200,100,10000
21300,100,10000
21400,100,10000
21500,100,10000
21600,100,10000
21700,100,10000
21800,100,10000
21900,100,10000
22000,100,10000
22100,100,10000
22200,100,10000
22300,100,10000
22400,100,10000
22500,100,10000
22600,100,10000
22700,100,10000
22800,100,10000
22900,100,10000
23000,100,10000
23100,100,10000
23200,100,10000
23300,100,10000
23400,100,10000
23500,100,10000
23600,100,10000
23700,100,10000
23800,100,10000
23900,100,10000
24000,100,10000
24100,100,10000
24200,100,10000
24300,100,10000
24400,100,10000
24500,100,10000
24600,100,10000
24700,100,10000
24800,100,10000
24900,100,10000
25000,100,10000
25100,100,10000
25200,100,10000
25300,100,10000
25400,100,10000
25500,100,10000
25600,100,10000
25700,100,10000
25800,100,10000
25900,100,10000
26000,100,10000
26100,100,10000
26200,100,10000
26300,100,10000
26400,100,10000
26500,100,10000
26600,100,10000
26700,100,10000
26800,100,10000
