time,choke,GL
0,20,0
600,22,0
1200,24,0
1800,26,0
2400,28,0
3000,30,0
3600,32,0
4200,34,0
4800,36,0
5400,38,0
6000,40,0
6600,42,0
7200,44,0
7800,46,0
8400,48,0
9000,50,0
9600,52,0
10200,54,0
10800,56,0
11400,58,0
12000,60,0
12600,62,0
13200,64,0
13800,66,0
14400,68,0
15000,70,0
15600,72,0
16200,74,0
16800,76,0
17400,78,0
18000,80,0
18600,82,0
19200,84,0
19800,86,0
20400,88,0
21000,90,0
21600,92,0
22200,94,0
22800,96,0
23400,98,0
24000,100,0
24000,100,0
24600,100,200
25200,100,400
25800,100,600
26400,100,800
27000,100,1000
27600,100,1200
28200,100,1400
28800,100,1600
29400,100,1800
30000,100,2000
30600,100,2200
31200,100,2400
31800,100,2600
32400,100,2800
33000,100,3000
33600,100,3200
34200,100,3400
34800,100,3600
35400,100,3800
36000,100,4000
36600,100,4200
37200,100,4400
37800,100,4600
38400,100,4800
39000,100,5000
39600,100,5200
40200,100,5400
40800,100,5600
41400,100,5800
42000,100,6000
42600,100,6200
43200,100,6400
43800,100,6600
44400,100,6800
45000,100,7000
45600,100,7200
46200,100,7400
46800,100,7600
47400,100,7800
48000,100,8000
48600,100,8200
49200,100,8400
49800,100,8600
50400,100,8800
51000,100,9000
51600,100,9200
52200,100,9400
52800,100,9600
53400,100,9800
54000,100,10000
