time,choke,GL
0,0,0
300,2,0
600,4,0
900,6,0
1200,8,0
1500,10,0
1800,12,0
2100,14,0
2400,16,0
2700,18,0
3000,20,0
3300,22,0
3600,24,0
3900,26,0
4200,28,0
4500,30,0
4800,32,0
5100,34,0
5400,36,0
5700,38,0
6000,40,0
6300,42,0
6600,44,0
6900,46,0
7200,48,0
7500,50,0
7800,52,0
8100,54,0
8400,56,0
8700,58,0
9000,60,0
9300,62,0
9600,64,0
9900,66,0
10200,68,0
10500,70,0
10800,72,0
11100,74,0
11400,76,0
11700,78,0
12000,80,0
12300,82,0
12600,84,0
12900,86,0
13200,88,0
13500,90,0
13800,92,0
14100,94,0
14400,96,0
14700,98,0
15000,100,0
15300,98,0
15600,96,0
15900,94,0
16200,92,0
16500,90,0
16800,88,0
17100,86,0
17400,84,0
17700,82,0
18000,80,0
18300,78,0
18600,76,0
18900,74,0
19200,72,0
19500,70,0
19800,68,0
20100,66,0
20400,64,0
20700,62,0
21000,60,0
21300,58,0
21600,56,0
21900,54,0
22200,52,0
22500,50,0
22800,48,0
23100,46,0
23400,44,0
23700,42,0
24000,40,0
24300,38,0
24600,36,0
24900,34,0
25200,32,0
25500,30,0
25800,28,0
26100,26,0
26400,24,0
26700,22,0
27000,20,0
27300,18,0
27600,16,0
27900,14,0
28200,12,0
28500,10,0
28800,8,0
29100,6,0
29400,4,0
29700,2,0
30000,0,0
