time,choke,GL
0,100,0
600,100,200
1200,100,400
1800,100,600
2400,100,800
3000,100,1000
3600,100,1200
4200,100,1400
4800,100,1600
5400,100,1800
6000,100,2000
6600,100,2200
7200,100,2400
7800,100,2600
8400,100,2800
9000,100,3000
9600,100,3200
10200,100,3400
10800,100,3600
11400,100,3800
12000,100,4000
12600,100,4200
13200,100,4400
13800,100,4600
14400,100,4800
15000,100,5000
15600,100,5200
16200,100,5400
16800,100,5600
17400,100,5800
18000,100,6000
18600,100,6200
19200,100,6400
19800,100,6600
20400,100,6800
21000,100,7000
21600,100,7200
22200,100,7400
22800,100,7600
23400,100,7800
24000,100,8000
24600,100,8200
25200,100,8400
25800,100,8600
26400,100,8800
27000,100,9000
27600,100,9200
28200,100,9400
28800,100,9600
29400,100,9800
30000,100,10000
