time,choke,GL
0,50,0
100,50,0
200,50,0
300,50,0
400,52,0
500,52,0
600,50,0
700,50,0
800,50,0
900,50,0
1000,48,0
1100,48,0
1200,48,0
1300,50,0
1400,50,0
1500,52,0
1600,52,0
1700,52,0
1800,54,0
1900,54,0
2000,54,0
2100,56,0
2200,56,0
2300,56,0
2400,58,0
2500,56,0
2600,56,0
2700,56,0
2800,56,0
2900,54,0
3000,54,0
3100,54,0
3200,56,0
3300,56,0
3400,58,0
3500,58,0
3600,58,0
3700,60,0
3800,60,0
3900,60,0
4000,60,0
4100,58,0
4200,58,0
4300,60,0
4400,60,0
4500,58,0
4600,56,0
4700,56,0
4800,56,0
4900,56,0
5000,58,0
5100,56,0
5200,56,0
5300,56,0
5400,56,0
5500,54,0
5600,54,0
5700,56,0
5800,54,0
5900,54,0
6000,52,0
6100,52,0
6200,52,0
6300,52,0
6400,50,0
6500,50,0
6600,50,0
6700,50,0
6800,48,0
6900,48,0
7000,48,0
7100,50,0
7200,50,0
7300,50,0
7400,50,0
7500,48,0
7600,48,0
7700,48,0
7800,46,0
7900,46,0
8000,46,0
8100,46,0
8200,44,0
8300,44,0
8400,44,0
8500,46,0
8600,46,0
8700,46,0
8800,48,0
8900,50,0
9000,50,0
9100,50,0
9200,48,0
9300,48,0
9400,48,0
9500,46,0
9600,46,0
9700,48,0
9800,48,0
9900,46,0
10000,46,0
10100,44,0
10200,44,0
10300,44,0
10400,44,0
10500,42,0
10600,42,0
10700,40,0
10800,40,0
10900,40,0
11000,40,0
11100,42,0
11200,42,0
11300,42,0
11400,42,0
11500,44,0
11600,44,0
11700,44,0
11800,44,0
11900,46,0
12000,46,0
12100,46,0
12200,44,0
12300,44,0
12400,46,0
12500,48,0
12600,48,0
12700,48,0
12800,46,0
12900,46,0
13000,46,0
13100,46,0
13200,44,0
13300,44,0
13400,44,0
13500,44,0
13600,42,0
13700,42,0
13800,44,0
13900,42,0
14000,42,0
14100,44,0
14200,44,0
14300,44,0
14400,42,0
14500,44,0
14600,44,0
14700,46,0
14800,46,0
14900,46,0
15000,48,0
15100,48,0
15200,46,0
15300,46,0
15400,44,0
15500,42,0
15600,42,0
15700,42,0
15800,40,0
15900,38,0
16000,38,0
16100,38,0
16200,38,0
16300,36,0
16400,36,0
16500,34,0
16600,34,0
16700,34,0
16800,34,0
16900,36,0
17000,38,0
17100,36,0
17200,36,0
17300,36,0
17400,34,0
17500,36,0
17600,36,0
17700,36,0
17800,38,0
17900,38,0
18000,38,0
18100,38,0
18200,40,0
18300,40,0
18400,40,0
18500,40,0
18600,42,0
18700,44,0
18800,44,0
18900,44,0
19000,44,0
19100,46,0
19200,46,0
19300,46,0
19400,48,0
19500,48,0
19600,48,0
19700,48,0
19800,46,0
19900,46,0
20000,46,0
20100,44,0
20200,44,0
20300,42,0
20400,42,0
20500,42,0
20600,40,0
20700,38,0
20800,38,0
20900,40,0
21000,38,0
21100,38,0
21200,38,0
21300,38,0
21400,40,0
21500,40,0
21600,40,0
21700,40,0
21800,38,0
21900,38,0
22000,38,0
22100,40,0
22200,38,0
22300,38,0
22400,36,0
22500,34,0
22600,36,0
22700,36,0
22800,34,0
22900,34,0
23000,34,0
23100,34,0
23200,36,0
23300,36,0
23400,36,0
23500,38,0
23600,40,0
23700,40,0
23800,40,0
23900,40,0
24000,38,0
24100,38,0
24200,38,0
24300,40,0
24400,40,0
24500,42,0
24600,44,0
24700,44,0
24800,46,0
24900,48,0
25000,48,0
25100,48,0
25200,48,0
25300,50,0
25400,50,0
25500,50,0
25600,52,0
25700,52,0
25800,52,0
25900,54,0
26000,54,0
26100,56,0
26200,56,0
26300,56,0
26400,54,0
26500,54,0
26600,54,0
26700,54,0
26800,52,0
26900,52,0
27000,54,0
27100,54,0
27200,54,0
27300,52,0
27400,52,0
27500,52,0
27600,50,0
27700,50,0
27800,50,0
27900,50,0
28000,52,0
28100,52,0
28200,54,0
28300,52,0
28400,50,0
28500,50,0
28600,48,0
28700,50,0
28800,50,0
28900,50,0
29000,50,0
29100,48,0
29200,48,0
29300,48,0
29400,48,0
29500,46,0
29600,48,0
29700,50,0
29800,50,0
29900,50,0
30000,50,0
30100,48,0
30200,48,0
30300,46,0
30400,46,0
30500,46,0
30600,46,0
30700,44,0
30800,46,0
30900,48,0
31000,48,0
31100,48,0
31200,46,0
31300,46,0
31400,46,0
31500,46,0
31600,44,0
31700,46,0
31800,46,0
31900,44,0
32000,44,0
32100,42,0
32200,42,0
32300,42,0
32400,42,0
32500,40,0
32600,40,0
32700,42,0
32800,42,0
32900,44,0
33000,44,0
33100,44,0
33200,44,0
33300,46,0
33400,48,0
33500,48,0
33600,48,0
33700,50,0
33800,48,0
33900,48,0
34000,46,0
34100,44,0
34200,42,0
34300,42,0
34400,42,0
34500,42,0
34600,44,0
34700,44,0
34800,46,0
34900,46,0
35000,46,0
35100,46,0
35200,48,0
35300,48,0
35400,46,0
35500,46,0
35600,46,0
35700,48,0
35800,48,0
35900,48,0
36000,48,0
36100,46,0
36200,46,0
36300,46,0
36400,46,0
36500,44,0
36600,42,0
36700,40,0
36800,40,0
36900,40,0
37000,38,0
37100,38,0
37200,38,0
37300,38,0
37400,36,0
37500,36,0
37600,36,0
37700,36,0
37800,38,0
37900,38,0
38000,36,0
38100,36,0
38200,38,0
38300,38,0
38400,38,0
38500,40,0
38600,42,0
38700,42,0
38800,42,0
38900,42,0
39000,44,0
39100,44,0
39200,44,0
39300,46,0
39400,46,0
39500,46,0
39600,46,0
39700,44,0
39800,44,0
39900,44,0
40000,44,0
40100,42,0
40200,42,0
40300,44,0
40400,46,0
40500,46,0
40600,48,0
40700,50,0
40800,50,0
40900,48,0
41000,48,0
41100,50,0
41200,50,0
41300,48,0
41400,46,0
41500,46,0
41600,46,0
41700,48,0
41800,50,0
41900,48,0
42000,48,0
42100,48,0
42200,50,0
42300,50,0
42400,50,0
42500,50,0
42600,52,0
42700,50,0
42800,52,0
42900,52,0
43000,54,0
43100,54,0
43200,54,0
43300,52,0
43400,52,0
43500,52,0
43600,52,0
43700,54,0
43800,54,0
43900,52,0
44000,54,0
44100,54,0
44200,54,0
44300,52,0
44400,52,0
44500,52,0
44600,54,0
44700,54,0
44800,54,0
44900,54,0
45000,56,0
45100,56,0
45200,58,0
45300,58,0
45400,58,0
45500,58,0
45600,60,0
45700,60,0
45800,60,0
45900,60,0
46000,62,0
46100,62,0
46200,62,0
46300,64,0
46400,64,0
46500,66,0
46600,64,0
46700,64,0
46800,64,0
46900,66,0
47000,66,0
47100,66,0
47200,66,0
47300,68,0
47400,68,0
47500,68,0
47600,68,0
47700,66,0
47800,68,0
47900,68,0
48000,68,0
48100,68,0
48200,70,0
48300,68,0
48400,68,0
48500,68,0
48600,68,0
48700,66,0
48800,66,0
48900,66,0
49000,64,0
49100,64,0
49200,64,0
49300,64,0
49400,62,0
49500,62,0
49600,62,0
49700,60,0
49800,60,0
49900,62,0
50000,60,0
50100,60,0
50200,60,0
50300,60,0
50400,62,0
50500,62,0
50600,62,0
50700,64,0
50800,64,0
50900,64,0
51000,66,0
51100,64,0
51200,64,0
51300,64,0
51400,64,0
51500,62,0
51600,64,0
51700,64,0
51800,64,0
51900,64,0
52000,62,0
52100,62,0
52200,60,0
52300,60,0
52400,62,0
52500,62,0
52600,62,0
52700,60,0
52800,60,0
52900,58,0
53000,58,0
53100,58,0
53200,58,0
53300,60,0
53400,60,0
53500,60,0
53600,58,0
53700,58,0
53800,60,0
53900,60,0
54000,58,0
54100,56,0
54200,56,0
54300,56,0
54400,56,0
54500,54,0
54600,52,0
54700,52,0
54800,52,0
54900,52,0
55000,54,0
55100,56,0
55200,58,0
55300,58,0
55400,60,0
55500,60,0
55600,62,0
55700,62,0
55800,60,0
55900,58,0
56000,56,0
56100,58,0
56200,60,0
56300,62,0
56400,64,0
56500,64,0
56600,64,0
56700,66,0
56800,68,0
56900,68,0
57000,68,0
57100,68,0
57200,70,0
57300,70,0
57400,70,0
57500,70,0
57600,68,0
57700,70,0
57800,70,0
57900,68,0
58000,66,0
58100,68,0
58200,70,0
58300,70,0
58400,68,0
58500,70,0
58600,68,0
58700,66,0
58800,66,0
58900,66,0
59000,64,0
59100,64,0
59200,62,0
59300,64,0
59400,62,0
59500,62,0
59600,62,0
59700,62,0
59800,60,0
59900,60,0
60000,60,0
60100,60,0
60200,62,0
60300,62,0
60400,62,0
60500,62,0
60600,64,0
60700,64,0
60800,64,0
60900,64,0
61000,62,0
61100,62,0
61200,64,0
61300,64,0
61400,64,0
61500,66,0
61600,66,0
61700,66,0
61800,66,0
61900,64,0
62000,64,0
62100,64,0
62200,64,0
62300,66,0
62400,66,0
62500,66,0
62600,68,0
62700,68,0
62800,68,0
62900,68,0
63000,70,0
63100,70,0
63200,70,0
63300,70,0
63400,70,0
63500,70,0
63600,70,0
63700,70,0
63800,70,0
63900,68,0
64000,68,0
64100,68,0
64200,68,0
64300,70,0
64400,70,0
64500,70,0
64600,70,0
64700,68,0
64800,68,0
64900,68,0
65000,66,0
65100,66,0
65200,66,0
65300,68,0
65400,68,0
65500,70,0
65600,70,0
65700,70,0
65800,70,0
65900,70,0
66000,70,0
66100,70,0
66200,70,0
66300,70,0
66400,70,0
66500,70,0
66600,68,0
66700,68,0
66800,68,0
66900,68,0
67000,70,0
67100,70,0
67200,70,0
67300,70,0
