time,choke,GL
0,50,0
10,50,0
20,50,0
30,50,0
40,50,0
50,50,0
60,50,0
70,50,0
80,50,0
90,50,0
100,50,0
110,50,0
120,50,0
130,50,0
140,50,0
150,50,0
160,50,0
170,50,0
180,50,0
190,50,0
200,50,0
210,50,0
220,50,0
230,50,0
240,50,0
250,50,0
260,50,0
270,50,0
280,50,0
290,50,0
300,50,0
310,50,0
320,50,0
330,50,0
340,50,0
350,50,0
360,50,0
370,50,0
380,50,0
390,50,0
400,50,0
410,50,0
420,50,0
430,50,0
440,50,0
450,50,0
460,50,0
470,50,0
480,50,0
490,50,0
500,50,0
510,50,0
520,48,0
530,48,0
540,48,0
550,48,0
560,48,0
570,48,0
580,48,0
590,48,0
600,48,0
610,48,0
620,48,0
630,48,0
640,48,0
650,48,0
660,48,0
670,48,0
680,48,0
690,48,0
700,48,0
710,48,0
720,48,0
730,48,0
740,48,0
750,48,0
760,48,0
770,48,0
780,48,0
790,48,0
800,48,0
810,48,0
820,48,0
830,48,0
840,48,0
850,48,0
860,48,0
870,48,0
880,48,0
890,48,0
900,48,0
910,48,0
920,48,0
930,48,0
940,48,0
950,48,0
960,48,0
970,48,0
980,48,0
990,48,0
1000,48,0
1010,48,0
1020,48,0
1030,48,0
1040,48,0
1050,48,0
1060,48,0
1070,46,0
1080,46,0
1090,46,0
1100,46,0
1110,46,0
1120,46,0
1130,46,0
1140,46,0
1150,46,0
1160,46,0
1170,46,0
1180,46,0
1190,46,0
1200,46,0
1210,46,0
1220,46,0
1230,46,0
1240,46,0
1250,46,0
1260,46,0
1270,46,0
1280,46,0
1290,46,0
1300,46,0
1310,46,0
1320,46,0
1330,46,0
1340,46,0
1350,46,0
1360,46,0
1370,46,0
1380,46,0
1390,46,0
1400,46,0
1410,46,0
1420,46,0
1430,46,0
1440,46,0
1450,46,0
1460,46,0
1470,46,0
1480,46,0
1490,46,0
1500,46,0
1510,46,0
1520,46,0
1530,46,0
1540,46,0
1550,46,0
1560,46,0
1570,46,0
1580,46,0
1590,46,0
1600,46,0
1610,46,0
1620,46,0
1630,46,0
1640,46,0
1650,46,0
1660,46,0
1670,46,0
1680,48,0
1690,48,0
1700,48,0
1710,48,0
1720,48,0
1730,48,0
1740,48,0
1750,48,0
1760,48,0
1770,48,0
1780,48,0
1790,48,0
1800,48,0
1810,48,0
1820,48,0
1830,48,0
1840,48,0
1850,48,0
1860,48,0
1870,48,0
1880,48,0
1890,48,0
1900,48,0
1910,48,0
1920,48,0
1930,48,0
1940,48,0
1950,48,0
1960,48,0
1970,48,0
1980,48,0
1990,48,0
2000,48,0
2010,48,0
2020,48,0
2030,48,0
2040,48,0
2050,48,0
2060,48,0
2070,48,0
2080,48,0
2090,48,0
2100,48,0
2110,48,0
2120,48,0
2130,48,0
2140,48,0
2150,48,0
2160,48,0
2170,48,0
2180,48,0
2190,48,0
2200,48,0
2210,48,0
2220,48,0
2230,46,0
2240,46,0
2250,46,0
2260,46,0
2270,46,0
2280,46,0
2290,46,0
2300,46,0
2310,46,0
2320,46,0
2330,46,0
2340,46,0
2350,46,0
2360,46,0
2370,46,0
2380,46,0
2390,46,0
2400,46,0
2410,46,0
2420,46,0
2430,46,0
2440,46,0
2450,46,0
2460,46,0
2470,46,0
2480,46,0
2490,46,0
2500,46,0
2510,46,0
2520,46,0
2530,46,0
2540,46,0
2550,46,0
2560,46,0
2570,46,0
2580,46,0
2590,46,0
2600,46,0
2610,46,0
2620,46,0
2630,46,0
2640,46,0
2650,46,0
2660,46,0
2670,46,0
2680,46,0
2690,46,0
2700,46,0
2710,46,0
2720,46,0
2730,46,0
2740,46,0
2750,46,0
2760,46,0
2770,46,0
2780,46,0
2790,46,0
2800,46,0
2810,46,0
2820,44,0
2830,44,0
2840,44,0
2850,44,0
2860,44,0
2870,44,0
2880,44,0
2890,44,0
2900,44,0
2910,44,0
2920,44,0
2930,44,0
2940,44,0
2950,44,0
2960,44,0
2970,44,0
2980,44,0
2990,44,0
3000,44,0
3010,44,0
3020,44,0
3030,44,0
3040,44,0
3050,44,0
3060,44,0
3070,44,0
3080,44,0
3090,44,0
3100,44,0
3110,44,0
3120,44,0
3130,44,0
3140,44,0
3150,44,0
3160,44,0
3170,44,0
3180,44,0
3190,44,0
3200,44,0
3210,44,0
3220,44,0
3230,44,0
3240,44,0
3250,44,0
3260,44,0
3270,44,0
3280,44,0
3290,44,0
3300,44,0
3310,44,0
3320,44,0
3330,44,0
3340,44,0
3350,44,0
3360,44,0
3370,44,0
3380,44,0
3390,44,0
3400,44,0
3410,44,0
3420,44,0
3430,44,0
3440,44,0
3450,44,0
3460,44,0
3470,44,0
3480,44,0
3490,44,0
3500,44,0
3510,42,0
3520,42,0
3530,42,0
3540,42,0
3550,42,0
3560,42,0
3570,42,0
3580,42,0
3590,42,0
3600,42,0
3610,42,0
3620,42,0
3630,42,0
3640,42,0
3650,42,0
3660,42,0
3670,42,0
3680,42,0
3690,42,0
3700,42,0
3710,42,0
3720,42,0
3730,42,0
3740,42,0
3750,42,0
3760,42,0
3770,42,0
3780,42,0
3790,42,0
3800,42,0
3810,42,0
3820,42,0
3830,42,0
3840,42,0
3850,42,0
3860,42,0
3870,42,0
3880,42,0
3890,42,0
3900,42,0
3910,42,0
3920,42,0
3930,42,0
3940,42,0
3950,42,0
3960,42,0
3970,42,0
3980,42,0
3990,42,0
4000,42,0
4010,40,0
4020,40,0
4030,40,0
4040,40,0
4050,40,0
4060,40,0
4070,40,0
4080,40,0
4090,40,0
4100,40,0
4110,40,0
4120,40,0
4130,40,0
4140,40,0
4150,40,0
4160,40,0
4170,40,0
4180,40,0
4190,40,0
4200,40,0
4210,40,0
4220,40,0
4230,40,0
4240,40,0
4250,40,0
4260,40,0
4270,40,0
4280,40,0
4290,40,0
4300,40,0
4310,40,0
4320,40,0
4330,40,0
4340,40,0
4350,40,0
4360,40,0
4370,40,0
4380,40,0
4390,40,0
4400,40,0
4410,40,0
4420,40,0
4430,40,0
4440,40,0
4450,40,0
4460,40,0
4470,40,0
4480,40,0
4490,40,0
4500,40,0
4510,40,0
4520,40,0
4530,40,0
4540,40,0
4550,42,0
4560,42,0
4570,42,0
4580,42,0
4590,42,0
4600,42,0
4610,42,0
4620,42,0
4630,42,0
4640,42,0
4650,42,0
4660,42,0
4670,42,0
4680,42,0
4690,42,0
4700,42,0
4710,42,0
4720,42,0
4730,42,0
4740,42,0
4750,42,0
4760,42,0
4770,42,0
4780,42,0
4790,42,0
4800,42,0
4810,42,0
4820,42,0
4830,42,0
4840,42,0
4850,42,0
4860,42,0
4870,42,0
4880,42,0
4890,42,0
4900,42,0
4910,42,0
4920,42,0
4930,42,0
4940,42,0
4950,42,0
4960,42,0
4970,42,0
4980,42,0
4990,42,0
5000,42,0
5010,42,0
5020,42,0
5030,42,0
5040,42,0
5050,42,0
5060,42,0
5070,42,0
5080,42,0
5090,42,0
5100,40,0
5110,40,0
5120,40,0
5130,40,0
5140,40,0
5150,40,0
5160,40,0
5170,40,0
5180,40,0
5190,40,0
5200,40,0
5210,40,0
5220,40,0
5230,40,0
5240,40,0
5250,40,0
5260,40,0
5270,40,0
5280,40,0
5290,40,0
5300,40,0
5310,40,0
5320,40,0
5330,40,0
5340,40,0
5350,40,0
5360,40,0
5370,40,0
5380,40,0
5390,40,0
5400,40,0
5410,40,0
5420,40,0
5430,40,0
5440,40,0
5450,40,0
5460,40,0
5470,40,0
5480,40,0
5490,40,0
5500,40,0
5510,40,0
5520,40,0
5530,40,0
5540,40,0
5550,40,0
5560,40,0
5570,40,0
5580,40,0
5590,40,0
5600,40,0
5610,40,0
5620,40,0
5630,40,0
5640,40,0
5650,40,0
5660,40,0
5670,40,0
5680,40,0
5690,42,0
5700,42,0
5710,42,0
5720,42,0
5730,42,0
5740,42,0
5750,42,0
5760,42,0
5770,42,0
5780,42,0
5790,42,0
5800,42,0
5810,42,0
5820,42,0
5830,42,0
5840,42,0
5850,42,0
5860,42,0
5870,42,0
5880,42,0
5890,42,0
5900,42,0
5910,42,0
5920,42,0
5930,42,0
5940,42,0
5950,42,0
5960,42,0
5970,42,0
5980,42,0
5990,42,0
6000,42,0
6010,42,0
6020,42,0
6030,42,0
6040,42,0
6050,42,0
6060,42,0
6070,42,0
6080,42,0
6090,42,0
6100,42,0
6110,42,0
6120,42,0
6130,42,0
6140,42,0
6150,42,0
6160,42,0
6170,42,0
6180,42,0
6190,42,0
6200,42,0
6210,42,0
6220,42,0
6230,42,0
6240,42,0
6250,42,0
6260,42,0
6270,42,0
6280,42,0
6290,42,0
6300,42,0
6310,42,0
6320,40,0
6330,40,0
6340,40,0
6350,40,0
6360,40,0
6370,40,0
6380,40,0
6390,40,0
6400,40,0
6410,40,0
6420,40,0
6430,40,0
6440,40,0
6450,40,0
6460,40,0
6470,40,0
6480,40,0
6490,40,0
6500,40,0
6510,40,0
6520,40,0
6530,40,0
6540,40,0
6550,40,0
6560,40,0
6570,40,0
6580,40,0
6590,40,0
6600,40,0
6610,40,0
6620,40,0
6630,40,0
6640,40,0
6650,40,0
6660,40,0
6670,40,0
6680,40,0
6690,40,0
6700,40,0
6710,40,0
6720,40,0
6730,40,0
6740,40,0
6750,40,0
6760,40,0
6770,40,0
6780,40,0
6790,40,0
6800,40,0
6810,40,0
6820,40,0
6830,40,0
6840,40,0
6850,40,0
6860,40,0
6870,40,0
6880,40,0
6890,38,0
6900,38,0
6910,38,0
6920,38,0
6930,38,0
6940,38,0
6950,38,0
6960,38,0
6970,38,0
6980,38,0
6990,38,0
7000,38,0
7010,38,0
7020,38,0
7030,38,0
7040,38,0
7050,38,0
7060,38,0
7070,38,0
7080,38,0
7090,38,0
7100,38,0
7110,38,0
7120,38,0
7130,38,0
7140,38,0
7150,38,0
7160,38,0
7170,38,0
7180,38,0
7190,38,0
7200,38,0
7210,38,0
7220,38,0
7230,38,0
7240,38,0
7250,38,0
7260,38,0
7270,38,0
7280,38,0
7290,38,0
7300,38,0
7310,38,0
7320,38,0
7330,38,0
7340,38,0
7350,38,0
7360,38,0
7370,38,0
7380,38,0
7390,38,0
7400,38,0
7410,38,0
7420,38,0
7430,38,0
7440,38,0
7450,38,0
7460,38,0
7470,38,0
7480,38,0
7490,38,0
7500,38,0
7510,38,0
7520,38,0
7530,36,0
7540,36,0
7550,36,0
7560,36,0
7570,36,0
7580,36,0
7590,36,0
7600,36,0
7610,36,0
7620,36,0
7630,36,0
7640,36,0
7650,36,0
7660,36,0
7670,36,0
7680,36,0
7690,36,0
7700,36,0
7710,36,0
7720,36,0
7730,36,0
7740,36,0
7750,36,0
7760,36,0
7770,36,0
7780,36,0
7790,36,0
7800,36,0
7810,36,0
7820,36,0
7830,36,0
7840,36,0
7850,36,0
7860,36,0
7870,36,0
7880,36,0
7890,36,0
7900,36,0
7910,36,0
7920,36,0
7930,36,0
7940,36,0
7950,36,0
7960,36,0
7970,36,0
7980,36,0
7990,36,0
8000,36,0
8010,36,0
8020,36,0
8030,36,0
8040,36,0
8050,36,0
8060,36,0
8070,36,0
8080,36,0
8090,36,0
8100,36,0
8110,36,0
8120,36,0
8130,36,0
8140,36,0
8150,36,0
8160,36,0
8170,36,0
8180,36,0
8190,36,0
8200,36,0
8210,36,0
8220,38,0
8230,38,0
8240,38,0
8250,38,0
8260,38,0
8270,38,0
8280,38,0
8290,38,0
8300,38,0
8310,38,0
8320,38,0
8330,38,0
8340,38,0
8350,38,0
8360,38,0
8370,38,0
8380,38,0
8390,38,0
8400,38,0
8410,38,0
8420,38,0
8430,38,0
8440,38,0
8450,38,0
8460,38,0
8470,38,0
8480,38,0
8490,38,0
8500,38,0
8510,38,0
8520,38,0
8530,38,0
8540,38,0
8550,38,0
8560,38,0
8570,38,0
8580,38,0
8590,38,0
8600,38,0
8610,38,0
8620,38,0
8630,38,0
8640,38,0
8650,38,0
8660,38,0
8670,38,0
8680,38,0
8690,38,0
8700,38,0
8710,38,0
8720,36,0
8730,36,0
8740,36,0
8750,36,0
8760,36,0
8770,36,0
8780,36,0
8790,36,0
8800,36,0
8810,36,0
8820,36,0
8830,36,0
8840,36,0
8850,36,0
8860,36,0
8870,36,0
8880,36,0
8890,36,0
8900,36,0
8910,36,0
8920,36,0
8930,36,0
8940,36,0
8950,36,0
8960,36,0
8970,36,0
8980,36,0
8990,36,0
9000,36,0
9010,36,0
9020,36,0
9030,36,0
9040,36,0
9050,36,0
9060,36,0
9070,36,0
9080,36,0
9090,36,0
9100,36,0
9110,36,0
9120,36,0
9130,36,0
9140,36,0
9150,36,0
9160,36,0
9170,36,0
9180,36,0
9190,36,0
9200,36,0
9210,36,0
9220,36,0
9230,36,0
9240,36,0
9250,36,0
9260,36,0
9270,36,0
9280,36,0
9290,36,0
9300,36,0
9310,36,0
9320,36,0
9330,36,0
9340,36,0
9350,36,0
9360,36,0
9370,38,0
9380,38,0
9390,38,0
9400,38,0
9410,38,0
9420,38,0
9430,38,0
9440,38,0
9450,38,0
9460,38,0
9470,38,0
9480,38,0
9490,38,0
9500,38,0
9510,38,0
9520,38,0
9530,38,0
9540,38,0
9550,38,0
9560,38,0
9570,38,0
9580,38,0
9590,38,0
9600,38,0
9610,38,0
9620,38,0
9630,38,0
9640,38,0
9650,38,0
9660,38,0
9670,38,0
9680,38,0
9690,38,0
9700,38,0
9710,38,0
9720,38,0
9730,38,0
9740,38,0
9750,38,0
9760,38,0
9770,38,0
9780,38,0
9790,38,0
9800,38,0
9810,38,0
9820,38,0
9830,38,0
9840,38,0
9850,38,0
9860,38,0
9870,36,0
9880,36,0
9890,36,0
9900,36,0
9910,36,0
9920,36,0
9930,36,0
9940,36,0
9950,36,0
9960,36,0
9970,36,0
9980,36,0
9990,36,0
