time,choke,GL
0,60,0
10,60,0
20,60,0
30,60,0
40,60,0
50,60,0
60,60,0
70,60,0
80,60,0
90,60,0
100,60,0
110,60,0
120,60,0
130,60,0
140,60,0
150,60,0
160,60,0
170,60,0
180,60,0
190,60,0
200,60,0
210,60,0
220,60,0
230,60,0
240,60,0
250,60,0
260,60,0
270,60,0
280,60,0
290,60,0
300,60,0
310,60,0
320,60,0
330,60,0
340,60,0
350,60,0
360,60,0
370,60,0
380,60,0
390,60,0
400,60,0
410,60,0
420,60,0
430,60,0
440,60,0
450,60,0
460,60,0
470,60,0
480,60,0
490,60,0
500,60,0
510,60,0
520,60,0
530,60,0
540,60,0
550,60,0
560,60,0
570,60,0
580,60,0
590,60,0
600,60,0
610,60,0
620,60,0
630,60,0
640,60,0
650,60,0
660,60,0
670,60,0
680,60,0
690,60,0
700,60,0
710,60,0
720,60,0
730,60,0
740,62,0
750,62,0
760,62,0
770,62,0
780,62,0
790,62,0
800,62,0
810,62,0
820,62,0
830,62,0
840,62,0
850,62,0
860,62,0
870,62,0
880,62,0
890,62,0
900,62,0
910,62,0
920,62,0
930,62,0
940,62,0
950,62,0
960,62,0
970,62,0
980,62,0
990,62,0
1000,62,0
1010,62,0
1020,62,0
1030,62,0
1040,62,0
1050,62,0
1060,62,0
1070,62,0
1080,62,0
1090,62,0
1100,62,0
1110,62,0
1120,62,0
1130,62,0
1140,62,0
1150,62,0
1160,62,0
1170,62,0
1180,62,0
1190,62,0
1200,62,0
1210,62,0
1220,62,0
1230,62,0
1240,62,0
1250,62,0
1260,62,0
1270,62,0
1280,62,0
1290,62,0
1300,62,0
1310,62,0
1320,62,0
1330,62,0
1340,62,0
1350,62,0
1360,62,0
1370,62,0
1380,62,0
1390,62,0
1400,62,0
1410,62,0
1420,62,0
1430,62,0
1440,62,0
1450,62,0
1460,62,0
1470,62,0
1480,60,0
1490,60,0
1500,60,0
1510,60,0
1520,60,0
1530,60,0
1540,60,0
1550,60,0
1560,60,0
1570,60,0
1580,60,0
1590,60,0
1600,60,0
1610,60,0
1620,60,0
1630,60,0
1640,60,0
1650,60,0
1660,60,0
1670,60,0
1680,60,0
1690,60,0
1700,60,0
1710,60,0
1720,60,0
1730,60,0
1740,60,0
1750,60,0
1760,60,0
1770,60,0
1780,60,0
1790,60,0
1800,60,0
1810,60,0
1820,60,0
1830,60,0
1840,60,0
1850,60,0
1860,60,0
1870,60,0
1880,60,0
1890,60,0
1900,60,0
1910,60,0
1920,60,0
1930,60,0
1940,60,0
1950,60,0
1960,60,0
1970,60,0
1980,60,0
1990,60,0
2000,60,0
2010,60,0
2020,60,0
2030,60,0
2040,60,0
2050,60,0
2060,60,0
2070,60,0
2080,60,0
2090,60,0
2100,60,0
2110,60,0
2120,60,0
2130,60,0
2140,60,0
2150,60,0
2160,60,0
2170,60,0
2180,60,0
2190,60,0
2200,60,0
2210,60,0
2220,60,0
2230,60,0
2240,60,0
2250,60,0
2260,60,0
2270,60,0
2280,60,0
2290,60,0
2300,60,0
