time,choke,GL
0,20,0
10,20,0
20,20,0
30,20,0
40,20,0
50,20,0
60,20,0
70,20,0
80,20,0
90,20,0
100,20,0
110,20,0
120,20,0
130,20,0
140,20,0
150,20,0
160,20,0
170,20,0
180,20,0
190,20,0
200,20,0
210,20,0
220,20,0
230,20,0
240,20,0
250,20,0
260,20,0
270,20,0
280,20,0
290,20,0
300,20,0
310,20,0
320,20,0
330,20,0
340,20,0
350,20,0
360,20,0
370,20,0
380,20,0
390,20,0
400,20,0
410,20,0
420,20,0
430,20,0
440,20,0
450,20,0
460,20,0
470,20,0
480,20,0
490,20,0
500,20,0
510,20,0
520,20,0
530,20,0
540,20,0
550,20,0
560,20,0
570,20,0
580,20,0
590,20,0
600,20,0
610,20,0
620,20,0
630,20,0
640,20,0
650,20,0
660,20,0
670,20,0
680,20,0
690,20,0
700,20,0
710,20,0
720,20,0
730,20,0
740,20,0
750,20,0
760,20,0
770,20,0
780,20,0
790,20,0
800,20,0
810,20,0
820,20,0
830,20,0
840,20,0
850,20,0
860,20,0
870,20,0
880,20,0
890,20,0
900,20,0
910,20,0
920,20,0
930,20,0
940,20,0
950,20,0
960,20,0
970,20,0
980,20,0
990,20,0
1000,20,0
1010,20,0
1020,20,0
1030,20,0
1040,20,0
1050,20,0
1060,20,0
1070,20,0
1080,20,0
1090,20,0
1100,20,0
1110,20,0
1120,20,0
1130,20,0
1140,20,0
1150,20,0
1160,20,0
1170,20,0
1180,20,0
1190,20,0
1200,20,0
1210,20,0
1220,20,0
1230,20,0
1240,20,0
1250,20,0
1260,20,0
1270,20,0
1280,20,0
1290,20,0
1300,20,0
1310,20,0
1320,20,0
1330,20,0
1340,20,0
1350,20,0
1360,20,0
1370,20,0
1380,20,0
1390,20,0
1400,20,0
1410,20,0
1420,20,0
1430,20,0
1440,20,0
1450,20,0
1460,20,0
1470,20,0
1480,22,0
1490,22,0
1500,22,0
1510,22,0
1520,22,0
1530,22,0
1540,22,0
1550,22,0
1560,22,0
1570,22,0
1580,22,0
1590,22,0
1600,22,0
