time,choke,GL
0,20.0,0.0
10,20.0,0.0
20,20.0,0.0
30,20.0,0.0
40,20.0,0.0
50,20.0,0.0
60,20.0,0.0
70,20.0,0.0
80,20.0,0.0
90,20.0,0.0
100,20.0,0.0
110,20.0,0.0
120,20.0,0.0
130,20.0,0.0
140,20.0,0.0
150,20.0,0.0
160,20.0,0.0
170,20.0,0.0
180,20.0,0.0
190,20.0,0.0
200,20.0,0.0
210,20.0,0.0
220,20.0,0.0
230,20.0,0.0
240,20.0,0.0
250,20.0,0.0
260,20.0,0.0
270,20.0,0.0
280,20.0,0.0
290,20.0,0.0
300,20.0,0.0
310,20.0,0.0
320,20.0,0.0
330,20.0,0.0
340,20.0,0.0
350,20.0,0.0
360,20.0,0.0
370,20.0,0.0
380,20.0,0.0
390,20.0,0.0
400,20.0,0.0
410,20.0,0.0
420,20.0,0.0
430,20.0,0.0
440,20.0,0.0
450,20.0,0.0
460,20.0,0.0
470,20.0,0.0
480,20.0,0.0
490,20.0,0.0
500,20.0,0.0
510,20.0,0.0
520,20.0,0.0
530,20.0,0.0
540,20.0,0.0
550,20.0,0.0
560,20.0,0.0
570,20.0,0.0
580,20.0,0.0
590,20.0,0.0
600,20.0,0.0
610,20.0,0.0
620,20.0,0.0
630,20.0,0.0
640,20.0,0.0
650,20.0,0.0
660,20.0,0.0
670,20.0,0.0
680,20.0,0.0
690,20.0,0.0
700,20.0,0.0
710,20.0,0.0
720,20.0,0.0
730,20.0,0.0
740,20.0,0.0
750,20.0,0.0
760,20.0,0.0
770,20.0,0.0
780,20.0,0.0
790,20.0,0.0
800,20.0,0.0
810,20.0,0.0
820,20.0,0.0
830,20.0,0.0
840,20.0,0.0
850,20.0,0.0
860,20.0,0.0
870,20.0,0.0
880,20.0,0.0
890,20.0,0.0
900,20.0,0.0
910,20.0,0.0
920,20.0,0.0
930,20.0,0.0
940,20.0,0.0
950,20.0,0.0
960,20.0,0.0
970,20.0,0.0
980,20.0,0.0
990,20.0,0.0
1000,20.0,0.0
1010,20.0,0.0
1020,20.0,0.0
1030,20.0,0.0
1040,20.0,0.0
1050,20.0,0.0
1060,20.0,0.0
1070,20.0,0.0
1080,20.0,0.0
1090,20.0,0.0
1100,20.0,0.0
1110,20.0,0.0
1120,20.0,0.0
1130,20.0,0.0
1140,20.0,0.0
1150,20.0,0.0
1160,20.0,0.0
1170,20.0,0.0
1180,20.0,0.0
1190,20.0,0.0
1200,20.0,0.0
1210,20.0,0.0
1220,20.0,0.0
1230,20.0,0.0
1240,20.0,0.0
1250,20.0,0.0
1260,20.0,0.0
1270,20.0,0.0
1280,20.0,0.0
1290,20.0,0.0
1300,20.0,0.0
1310,20.0,0.0
1320,20.0,0.0
1330,20.0,0.0
1340,20.0,0.0
1350,20.0,0.0
1360,20.0,0.0
1370,20.0,0.0
1380,20.0,0.0
1390,20.0,0.0
1400,20.0,0.0
1410,20.0,0.0
1420,20.0,0.0
1430,20.0,0.0
1440,20.0,0.0
1450,20.0,0.0
1460,20.0,0.0
1470,20.0,0.0
1480,20.0,0.0
1490,20.0,0.0
1500,20.0,0.0
1510,20.0,0.0
1520,20.0,0.0
1530,20.0,0.0
1540,20.0,0.0
1550,20.0,0.0
1560,20.0,0.0
1570,20.0,0.0
1580,20.0,0.0
1590,20.0,0.0
1600,20.0,0.0
1610,20.0,0.0
1620,20.0,0.0
1630,20.0,0.0
1640,20.0,0.0
1650,20.0,0.0
1660,20.0,0.0
1670,20.0,11.0
1680,20.0,11.0
1690,20.0,11.0
1700,20.0,11.0
1710,20.0,11.0
1720,20.0,11.0
1730,20.0,11.0
1740,20.0,11.0
1750,20.0,11.0
1760,20.0,11.0
1770,20.0,11.0
1780,20.0,11.0
1790,20.0,11.0
1800,20.0,11.0
1810,20.0,11.0
1820,20.0,11.0
1830,20.0,11.0
