time,choke,GL
0,50.0,0.0
10,50.0,0.0
20,50.0,0.0
30,50.0,0.0
40,50.0,0.0
50,50.0,0.0
60,50.0,0.0
70,50.0,0.0
80,50.0,0.0
90,50.0,0.0
100,50.0,0.0
110,50.0,0.0
120,50.0,0.0
130,50.0,0.0
140,50.0,0.0
150,50.0,0.0
160,50.0,0.0
170,50.0,0.0
180,50.0,0.0
190,50.0,0.0
200,50.0,0.0
210,50.0,0.0
220,50.0,0.0
230,50.0,0.0
240,50.0,0.0
250,50.0,0.0
260,50.0,0.0
270,50.0,0.0
280,50.0,0.0
290,50.0,0.0
300,50.0,0.0
310,50.0,0.0
320,50.0,0.0
330,50.0,0.0
340,50.0,0.0
350,50.0,0.0
360,50.0,0.0
370,50.0,0.0
380,50.0,0.0
390,50.0,0.0
400,50.0,0.0
410,50.0,0.0
420,50.0,0.0
430,50.0,0.0
440,50.0,0.0
450,50.0,135.69
460,50.0,135.69
470,50.0,135.69
480,50.0,135.69
490,50.0,135.69
500,50.0,135.69
510,50.0,135.69
520,50.0,135.69
530,50.0,135.69
540,50.0,135.69
550,50.0,135.69
560,50.0,135.69
570,50.0,135.69
580,50.0,135.69
590,50.0,135.69
600,50.0,135.69
610,50.0,135.69
620,50.0,135.69
630,50.0,135.69
640,50.0,135.69
650,50.0,135.69
660,50.0,135.69
670,50.0,135.69
680,50.0,135.69
690,50.0,135.69
700,50.0,135.69
710,50.0,135.69
720,50.0,135.69
730,50.0,135.69
740,50.0,135.69
750,50.0,135.69
760,50.0,135.69
770,50.0,135.69
780,50.0,135.69
790,50.0,135.69
800,50.0,135.69
810,50.0,135.69
820,50.0,135.69
830,50.0,135.69
840,50.0,135.69
850,50.0,135.69
860,50.0,135.69
870,50.0,135.69
880,50.0,135.69
890,50.0,135.69
900,50.0,135.69
910,50.0,135.69
920,50.0,147.02
930,50.0,147.02
940,50.0,147.02
950,50.0,147.02
960,50.0,147.02
970,50.0,147.02
980,50.0,147.02
990,50.0,147.02
1000,50.0,147.02
1010,50.0,147.02
1020,50.0,147.02
1030,50.0,147.02
1040,50.0,147.02
1050,50.0,147.02
1060,50.0,147.02
1070,50.0,147.02
1080,50.0,147.02
1090,50.0,147.02
1100,50.0,147.02
1110,50.0,147.02
1120,50.0,147.02
1130,50.0,147.02
1140,50.0,147.02
1150,50.0,147.02
1160,50.0,147.02
1170,50.0,147.02
1180,50.0,147.02
1190,50.0,147.02
1200,50.0,147.02
1210,50.0,188.17
1220,50.0,188.17
1230,50.0,188.17
1240,50.0,188.17
1250,50.0,188.17
1260,50.0,188.17
1270,50.0,188.17
1280,50.0,188.17
1290,50.0,188.17
1300,50.0,188.17
1310,50.0,188.17
1320,50.0,188.17
1330,50.0,188.17
1340,50.0,188.17
1350,50.0,188.17
1360,50.0,188.17
1370,50.0,188.17
1380,50.0,188.17
1390,50.0,188.17
1400,50.4,188.17
1410,50.4,188.17
1420,50.4,188.17
1430,50.4,188.17
1440,50.4,188.17
1450,50.4,188.17
1460,50.4,188.17
1470,50.4,188.17
1480,50.4,188.17
1490,50.4,188.17
1500,50.4,188.17
1510,50.4,188.17
1520,50.4,188.17
1530,50.4,188.17
1540,50.4,188.17
1550,50.4,188.17
1560,50.4,188.17
1570,50.4,188.17
1580,50.4,188.17
1590,50.4,188.17
1600,50.4,334.81
1610,50.4,334.81
1620,50.4,334.81
1630,50.4,334.81
1640,50.4,334.81
1650,50.4,334.81
1660,50.4,334.81
1670,50.4,334.81
1680,50.4,334.81
1690,50.4,334.81
1700,50.4,334.81
1710,50.4,334.81
1720,50.4,334.81
1730,50.75,334.81
1740,50.75,334.81
1750,50.75,334.81
1760,50.75,334.81
1770,50.75,334.81
1780,50.75,334.81
1790,50.75,334.81
1800,50.75,334.81
1810,50.75,334.81
1820,50.75,334.81
1830,50.75,334.81
1840,50.75,334.81
1850,50.75,334.81
1860,50.75,334.81
1870,50.75,334.81
1880,50.75,334.81
1890,50.75,334.81
1900,50.75,334.81
1910,50.75,334.81
1920,50.75,334.81
1930,50.75,334.81
1940,50.75,334.81
1950,50.75,334.81
1960,50.75,334.81
1970,50.75,334.81
1980,50.75,485.98
1990,50.75,485.98
2000,50.75,485.98
2010,50.75,485.98
2020,50.75,485.98
2030,50.75,485.98
2040,50.75,485.98
2050,50.75,485.98
2060,50.75,485.98
2070,50.75,485.98
2080,50.75,485.98
2090,50.75,485.98
2100,50.75,485.98
2110,50.75,485.98
2120,50.75,485.98
2130,50.75,485.98
2140,50.75,485.98
2150,50.54,485.98
2160,50.54,485.98
2170,50.54,485.98
2180,50.54,485.98
2190,50.54,485.98
2200,50.54,485.98
2210,50.54,485.98
2220,50.54,485.98
2230,50.54,485.98
2240,50.54,485.98
2250,50.54,491.78
2260,50.54,491.78
2270,50.54,491.78
2280,50.54,491.78
2290,50.54,491.78
2300,50.54,491.78
2310,50.54,491.78
2320,50.54,491.78
2330,50.54,491.78
2340,50.54,491.78
2350,50.54,491.78
2360,50.54,491.78
2370,50.54,491.78
2380,50.54,491.78
2390,50.54,491.78
2400,50.04,491.78
2410,50.04,491.78
2420,50.04,491.78
2430,50.04,491.78
2440,50.04,491.78
2450,50.04,491.78
2460,50.04,491.78
2470,50.04,491.78
2480,50.04,491.78
2490,50.04,491.78
2500,50.04,491.78
2510,50.04,427.72
2520,50.04,427.72
2530,50.04,427.72
2540,50.04,427.72
2550,50.04,427.72
2560,50.04,427.72
2570,50.04,427.72
2580,50.04,427.72
2590,50.04,427.72
2600,50.04,427.72
2610,50.04,427.72
2620,50.04,427.72
2630,50.04,427.72
2640,50.04,427.72
2650,50.04,427.72
2660,50.04,427.72
2670,50.04,427.72
2680,50.04,427.72
2690,50.04,427.72
2700,50.04,427.72
2710,50.04,427.72
2720,50.04,427.72
2730,50.04,427.72
2740,50.04,427.72
2750,50.04,427.72
2760,50.04,427.72
2770,50.0,427.72
2780,50.0,427.72
2790,50.0,427.72
2800,50.0,427.72
2810,50.0,427.72
2820,50.0,427.72
2830,50.0,427.72
2840,50.0,427.72
2850,50.0,427.72
2860,50.0,427.72
2870,50.0,427.72
2880,50.0,427.72
2890,50.0,427.72
2900,50.0,427.72
2910,50.0,280.57
2920,50.0,280.57
2930,50.0,280.57
2940,50.0,280.57
2950,50.0,280.57
2960,50.0,280.57
2970,50.0,280.57
2980,50.0,280.57
2990,50.0,280.57
3000,50.0,280.57
3010,50.0,280.57
3020,50.0,280.57
3030,50.0,280.57
3040,50.0,280.57
3050,50.0,280.57
3060,50.0,280.57
3070,50.0,280.57
3080,50.0,280.57
3090,50.0,280.57
3100,50.0,280.57
3110,50.0,280.57
3120,50.0,280.57
3130,50.0,280.57
3140,50.0,280.57
3150,50.0,280.57
3160,50.0,280.57
3170,50.0,280.57
3180,50.0,280.57
3190,50.0,280.57
3200,50.0,280.57
3210,50.0,280.57
3220,50.0,280.57
3230,50.0,280.57
3240,50.0,280.57
3250,50.0,280.57
3260,50.0,280.57
3270,50.0,280.57
3280,50.0,345.96
3290,50.0,345.96
3300,50.0,345.96
3310,50.0,345.96
3320,50.0,345.96
3330,50.0,345.96
3340,50.0,345.96
3350,50.0,345.96
3360,50.0,345.96
3370,50.0,345.96
3380,50.0,345.96
3390,50.0,345.96
3400,50.0,345.96
3410,50.0,345.96
3420,50.0,345.96
3430,50.0,345.96
3440,50.0,345.96
3450,50.0,345.96
3460,50.0,345.96
3470,50.0,345.96
3480,50.0,345.96
3490,50.0,345.96
3500,50.0,345.96
3510,50.0,345.96
3520,50.0,345.96
3530,50.0,345.96
3540,50.0,345.96
3550,50.0,345.96
3560,50.0,345.96
3570,50.0,345.96
3580,50.0,345.96
3590,50.0,345.96
3600,50.0,471.6
3610,50.0,471.6
3620,50.0,471.6
3630,50.0,471.6
3640,50.0,471.6
3650,50.0,471.6
3660,50.0,471.6
3670,50.0,471.6
3680,50.0,471.6
3690,50.0,471.6
3700,50.0,471.6
3710,50.0,471.6
3720,50.0,471.6
3730,50.0,471.6
3740,50.0,471.6
3750,50.0,471.6
3760,50.0,471.6
3770,50.0,471.6
3780,50.0,471.6
3790,50.0,471.6
3800,50.0,471.6
3810,50.0,471.6
3820,50.0,471.6
3830,50.0,471.6
3840,50.0,471.6
3850,50.0,471.6
3860,50.0,471.6
3870,50.0,471.6
3880,50.0,471.6
3890,50.0,471.6
3900,50.0,471.6
3910,50.0,471.6
3920,50.0,471.6
3930,50.0,471.6
3940,50.0,471.6
3950,50.0,471.6
3960,50.0,471.6
3970,50.0,471.6
3980,50.0,471.6
