time,choke,GL
0,0.0,2000.0
100,0.0,2166.66
200,2.0,2333.3199999999997
300,4.0,2499.9799999999996
400,6.0,2666.6399999999994
500,4.0,2833.2999999999993
600,2.0,2666.6399999999994
700,0.0,2499.9799999999996
800,2.0,2666.6399999999994
900,4.0,2833.2999999999993
1000,6.0,2999.959999999999
1100,8.0,2833.2999999999993
1200,6.0,2666.6399999999994
1300,4.0,2499.9799999999996
1400,2.0,2333.3199999999997
1500,0.0,2499.9799999999996
1600,2.0,2333.3199999999997
1700,0.0,2499.9799999999996
1800,0.0,2666.6399999999994
1900,2.0,2499.9799999999996
2000,0.0,2333.3199999999997
2100,2.0,2166.66
2200,0.0,2000.0
2300,0.0,2000.0
2400,0.0,2000.0
2500,2.0,2166.66
2600,4.0,2000.0
2700,2.0,2166.66
2800,4.0,2000.0
2900,2.0,2166.66
3000,4.0,2000.0
3100,2.0,2000.0
3200,0.0,2166.66
3300,0.0,2333.3199999999997
3400,2.0,2499.9799999999996
3500,0.0,2333.3199999999997
3600,0.0,2166.66
3700,0.0,2333.3199999999997
3800,0.0,2499.9799999999996
3900,2.0,2333.3199999999997
4000,4.0,2499.9799999999996
4100,6.0,2333.3199999999997
4200,8.0,2166.66
4300,6.0,2000.0
4400,8.0,2000.0
4500,10.0,2166.66
4600,8.0,2000.0
4700,6.0,2166.66
4800,8.0,2333.3199999999997
4900,6.0,2499.9799999999996
5000,4.0,2666.6399999999994
5100,6.0,2833.2999999999993
5200,8.0,2999.959999999999
5300,6.0,2833.2999999999993
5400,8.0,2666.6399999999994
5500,10.0,2833.2999999999993
5600,12.0,2999.959999999999
5700,14.0,3166.619999999999
5800,12.0,3333.279999999999
5900,14.0,3499.9399999999987
6000,12.0,3333.279999999999
6100,14.0,3499.9399999999987
6200,12.0,3666.5999999999985
6300,10.0,3833.2599999999984
6400,12.0,3666.5999999999985
6500,14.0,3833.2599999999984
6600,12.0,3999.9199999999983
6700,10.0,4166.579999999998
6800,8.0,3999.9199999999983
6900,6.0,3833.2599999999984
7000,4.0,3666.5999999999985
7100,2.0,3499.9399999999987
7200,4.0,3666.5999999999985
7300,2.0,3499.9399999999987
7400,4.0,3333.279999999999
7500,2.0,3499.9399999999987
7600,0.0,3666.5999999999985
7700,2.0,3499.9399999999987
7800,4.0,3666.5999999999985
7900,6.0,3499.9399999999987
8000,4.0,3333.279999999999
8100,2.0,3166.619999999999
8200,0.0,2999.959999999999
8300,2.0,3166.619999999999
8400,4.0,2999.959999999999
8500,6.0,3166.619999999999
8600,8.0,3333.279999999999
8700,10.0,3499.9399999999987
8800,12.0,3666.5999999999985
8900,10.0,3833.2599999999984
9000,8.0,3999.9199999999983
9100,10.0,4166.579999999998
9200,8.0,3999.9199999999983
9300,6.0,4166.579999999998
9400,4.0,4333.239999999998
9500,6.0,4499.899999999998
