time,choke,GL
0,0,2000
100,0,2000
200,0,2166
300,2,2000
400,0,2000
500,2,2166
600,4,2332
700,6,2498
800,8,2664
900,6,2830
1000,4,2996
1100,2,3162
1200,4,2996
1300,6,2830
1400,4,2996
1500,6,2830
1600,8,2996
1700,10,2830
1800,12,2664
1900,10,2830
2000,8,2996
2100,10,2830
2200,8,2996
2300,6,3162
2400,4,2996
2500,6,3162
2600,4,2996
2700,6,3162
2800,8,2996
2900,10,2830
3000,8,2664
3100,6,2830
3200,8,2664
3300,10,2498
3400,12,2664
3500,10,2830
3600,12,2664
3700,14,2830
3800,16,2996
3900,14,3162
4000,12,2996
4100,14,3162
4200,16,2996
4300,18,3162
4400,16,2996
4500,18,3162
4600,20,2996
4700,18,2830
4800,16,2664
4900,14,2830
5000,16,2664
5100,18,2498
5200,20,2332
5300,22,2498
5400,20,2332
5500,22,2498
5600,24,2664
5700,26,2830
5800,24,2664
5900,22,2498
6000,20,2332
6100,22,2166
6200,20,2332
6300,22,2498
6400,20,2664
6500,18,2498
6600,20,2664
6700,18,2498
6800,20,2332
6900,18,2166
7000,16,2332
7100,18,2498
7200,20,2332
7300,18,2166
7400,20,2332
7500,22,2498
7600,20,2332
7700,18,2498
7800,20,2664
7900,18,2498
8000,16,2664
8100,18,2498
8200,16,2332
8300,14,2166
8400,12,2000
8500,10,2166
8600,12,2000
8700,14,2000
8800,12,2166
8900,14,2332
9000,16,2498
9100,18,2332
9200,16,2498
9300,18,2664
9400,20,2830
9500,22,2664
9600,24,2830
9700,22,2996
9800,20,2830
9900,22,2996
