time,choke,GL
0,10,0
1000,10,0
2000,20,0
3000,30,0
4000,40,0
5000,50,0
6000,60,0
7000,70,0
8000,80,0
9000,90,0
10000,100,0
11000,90,0
12000,80,0
13000,70,0
14000,60,0
15000,50,0
16000,40,0
17000,30,0
18000,20,0
19000,10,0
20000,0,0
21000,20,0
23000,40,0
25000,60,0
27000,80,0
29000,100,0
31000,80,0
33000,60,0
35000,40,0
37000,20,0
40000,50,5000
50000,50,6000
52000,50,7000
54000,50,8000
56000,50,9000
58000,50,10000
60000,50,9000
62000,50,8000
64000,50,7000
66000,50,6000
68000,50,5000
70000,50,7000
75000,50,9000
80000,50,5000
85000,50,7500
90000,50,10000
95000,50,5000
100000,50,5000
