model_name,test_name,mse,activation,mu,my,hlszs,bsz,e,p,lr,weight_decay
model_grid_second_run_0,step_choke_medium,3.4440966244021965e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_0,step_choke_low,3.382801099048395e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_0,step_choke_high,4.60481487607467e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_0,random_walk_short,1.682232264541991e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_0,mixed_ramp_short,1.634502991246687e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_0,multiple_steps_interval100,2.6809568355799585e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.005
model_grid_second_run_1,step_choke_medium,5.2161397304319375e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_1,step_choke_low,6.676595408602484e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_1,step_choke_high,1.4787113156801622e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_1,random_walk_short,2.1078467984954196e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_1,mixed_ramp_short,1.3866400464388849e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_1,multiple_steps_interval100,3.673520235939317e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.01
model_grid_second_run_2,step_choke_medium,3.4187908438200665e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_2,step_choke_low,3.3325658088350404e-06,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_2,step_choke_high,8.429762731663817e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_2,random_walk_short,3.2901342849307244e-07,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_2,mixed_ramp_short,1.748662253441731e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_2,multiple_steps_interval100,8.721692341038891e-08,LeakyReLU,20,20,80,64,200,4,0.001,0.015
model_grid_second_run_3,step_choke_medium,1.8649582541131946e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_3,step_choke_low,1.5680260340949253e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_3,step_choke_high,1.729335703462961e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_3,random_walk_short,1.5215310052172432e-07,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_3,mixed_ramp_short,1.7165584398678142e-08,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_3,multiple_steps_interval100,3.909974241521143e-08,LeakyReLU,30,30,80,64,200,4,0.001,0.005
model_grid_second_run_4,step_choke_medium,1.5278141550619954e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_4,step_choke_low,4.892904793710581e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_4,step_choke_high,1.0766746397296499e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_4,random_walk_short,2.261378423070475e-07,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_4,mixed_ramp_short,8.440006254056056e-09,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_4,multiple_steps_interval100,1.3497029678027113e-08,LeakyReLU,30,30,80,64,200,4,0.001,0.01
model_grid_second_run_5,step_choke_medium,9.319173191865307e-07,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_5,step_choke_low,8.094214925742043e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_5,step_choke_high,1.7559098393706205e-06,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_5,random_walk_short,3.128749085590243e-07,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_5,mixed_ramp_short,1.562306923988325e-08,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_5,multiple_steps_interval100,4.859423695182029e-08,LeakyReLU,30,30,80,64,200,4,0.001,0.015
model_grid_second_run_6,step_choke_medium,1.3640202658799744e-06,LeakyReLU,40,40,80,64,200,4,0.001,0.005
