model_name,test_name,mse,activation,mu,my,hlszs,bsz,e,p,lr,weight_decay
grid0_0,step_choke_medium,2.4211341432029646e-06,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_0,step_choke_low,2.1865071695564048e-05,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_0,step_choke_high,6.521159126090684e-06,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_0,random_walk_short,1.6408262010186147e-06,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_0,mixed_ramp_short,2.589176073172945e-07,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_0,multiple_steps_interval100,1.324248088557007e-06,LeakyReLU,5,5,10,64,200,5,0.001,0.1
grid0_1,step_choke_medium,4.775633507441464e-06,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_1,step_choke_low,2.2969048586674035e-05,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_1,step_choke_high,3.630811728986113e-06,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_1,random_walk_short,1.4305053180298553e-06,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_1,mixed_ramp_short,6.122820886634069e-08,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_1,multiple_steps_interval100,5.145871650061704e-07,LeakyReLU,5,5,40,64,200,5,0.001,0.1
grid0_2,step_choke_medium,5.431052808749623e-06,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_2,step_choke_low,2.2649833616534515e-05,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_2,step_choke_high,4.275259146067713e-06,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_2,random_walk_short,1.411684561156644e-06,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_2,mixed_ramp_short,5.1436988329058875e-08,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_2,multiple_steps_interval100,4.31715151145389e-07,LeakyReLU,5,5,200,64,200,5,0.001,0.1
grid0_3,step_choke_medium,1.5130291493343456e-06,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_3,step_choke_low,5.735156134635742e-06,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_3,step_choke_high,2.8225336531509778e-06,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_3,random_walk_short,7.467760306392466e-07,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_3,mixed_ramp_short,7.849677127491661e-08,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_3,multiple_steps_interval100,4.152365623407864e-07,LeakyReLU,5,20,10,64,200,5,0.001,0.1
grid0_4,step_choke_medium,1.0209578249487095e-06,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_4,step_choke_low,1.778991593580161e-05,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_4,step_choke_high,1.269708393790227e-06,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_4,random_walk_short,8.38877918619302e-07,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_4,mixed_ramp_short,1.6113066932156084e-07,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_4,multiple_steps_interval100,7.712327455270237e-07,LeakyReLU,5,20,40,64,200,5,0.001,0.1
grid0_5,step_choke_medium,3.1480017891486308e-06,LeakyReLU,5,20,200,64,200,5,0.001,0.1
grid0_5,step_choke_low,6.7928215555314504e-06,LeakyReLU,5,20,200,64,200,5,0.001,0.1
grid0_5,step_choke_high,3.1636793989621637e-06,LeakyReLU,5,20,200,64,200,5,0.001,0.1
